_id,p1,p2,p1_selected,p2_selected,p1_turn,Moves,active_player,most recent activity,p1c1,p1c2,p1c1_health,p1c2_health,p2c1_health,p2c2_health,usernames,p2c1,p2c2,start_time,p1_abandon,p1c1_stun,p1c2_stun,p2_abandon,p2c1_stun,p2c2_stun,elo_scores_at_end,skill_points_at_end,end_time,winner,seen_by_one,balance_code
0,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:26:54.643000', 'p1']",Knight,Rogue,99,99,99,99,"['Ellen', 'probablytom']",,,,,,,,,,,,,,,
1,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:37:33.853000', 'p1']",Rogue,Knight,99,99,99,99,"['Ellen', 'Smellinda']",,,,,,,,,,,,,,,
2,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:54:44.161000', 'p1']",Archer,Rogue,99,99,99,99,"['Ellen', 'KingCheese']",,,,,,,,,,,,,,,
3,,,TRUE,TRUE,FALSE,"['p2Kp1A_73', 'p1Ap2K_21p2R_95', 'p2Rp1A_64', 'p1Kp2R_77', 'p2Kp1K_18', 'p1Kp2R_66', 'p2Kp1K_1', 'p1Kp2K_33', 'p2Kp1K_96', 'p1Kp2K_55', 'p2Kp1K_81', 'p1Kp2K_99']",BestWilliam,"['2020-04-04 10:54:30.666000', 'p1']",Archer,Knight,0,2,0,0,"['Ellen', 'BestWilliam']",Knight,Rogue,33:11.8,0,0,0,0,0,0,"{'Ellen': 1216.0, 'BestWilliam': 1184.0}","{'Ellen': 40, 'BestWilliam': 0}",54:33.1,1,1,
4,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:44:34.342000', 'p1']",Archer,Knight,99,99,99,99,"['Ellen', 'georgedo']",,,,,,,,,,,,,,,
5,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:28:33.404000', 'p1']",Archer,Rogue,99,99,99,99,"['Ellen', 'alanismcq']",,,,,,,,,,,,,,,
6,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:42:45.826000', 'p1']",Archer,Rogue,99,99,99,99,"['Ellen', 'Jash98']",,,,,,,,,,,,,,,
7,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:55:28.098000', 'p1']",Archer,Rogue,99,99,99,99,"['Ellen', 'Luca1802']",,,,,,,,,,,,,,,
8,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 10:35:00.907000', 'p1']",Archer,Healer,99,99,99,99,"['Ellen', 'Frp97']",,,,,,,,,,,,,,,
9,,,TRUE,TRUE,TRUE,"['p2Ap1R_67p1A_56', 'p1Ap2K_75p2A_77', 'p2Ap1R_53p1A_70', 'p1Ap2K_14p2A_65', 'p2Ap1R_25p1A_64', 'p1Rp2A_32', 'p2Kp1R_97', 'p1Ap2K_74', 'p2Kp1A_32', 'p1Ap2K_29', 'p2Kp1A_13', 'p1Ap2K_99', 'p2Kp1A_32', 'p1Ap2K_11', 'p2Kp1A_67']",probablytom,"['2020-04-04 11:06:22.469000', 'p2']",Rogue,Archer,0,0,2,0,"['probablytom', 'cptKav']",Knight,Archer,02:43.7,0,0,0,0,0,0,"{'cptKav': 1216.0, 'probablytom': 1184.0}","{'cptKav': 50, 'probablytom': 0}",06:23.5,2,1,
10,,,TRUE,TRUE,TRUE,"['p2Ap1R_94p1K_81', 'p1Rp2A_2', 'p2Ap1R_27p1K_70', 'p1Rp2A_79', 'p2Ap1R_71p1K_98', 'p1Rp2A_44', 'p2Kp1K_41', 'p1Rp2K_11', 'p2Kp1R_74']",Sabotage,"['2020-04-04 11:17:05.522000', 'p2']",Rogue,Knight,0,0,0,10,"['Sabotage', 'Ellen']",Archer,Knight,09:30.3,0,0,0,0,0,0,"{'Ellen': 1232.736306793522, 'Sabotage': 1183.263693206478}","{'Ellen': 80, 'Sabotage': 0}",17:10.6,2,1,
11,,,TRUE,TRUE,TRUE,"['p2Ap1A_43p1H_95', 'p1Ap2A_11p2R_60', 'p2Ap1A_97p1H_10', 'p1Hp2Ap1A_96', 'p2Ap1A_18p1H_18', 'p1Hp2Ap1A_8', 'p2Ap1A_80p1H_42', 'p1Hp2Ap1A_63', 'p2Ap1A_85p1H_39', 'p1Hp2Rp1H_76', 'p2Rp1H_81']",Luca1802,"['2020-04-04 11:17:19.056000', 'p2']",Archer,Healer,0,0,4,4,"['Luca1802', 'Ellen']",Archer,Rogue,06:40.2,0,0,0,0,0,0,"{'Ellen': 1250.2394238847282, 'Luca1802': 1182.4968829087939}","{'Ellen': 120, 'Luca1802': 0}",17:20.6,2,1,
12,,,FALSE,TRUE,FALSE,[],none,"['2020-04-04 11:01:31.969000', 'p2']",,,99,99,99,99,"['BestWilliam', 'Luca1802']",Knight,Archer,,,,,,,,,,,,,
13,,,TRUE,TRUE,TRUE,"['p2Kp1A_82', 'p1Ap2K_20p2R_8', 'p2Rp1A_87', 'p1Kp2K_59', 'p2Kp1K_7', 'p1Kp2K_33', 'p2Kp1K_91', 'p1Kp2K_37', 'p2Kp1K_91', 'p1Kp2K_82', 'p2Rp1K_11', 'p1Kp2R_2', 'p2Rp1K_55']",Ellen,"['2020-04-04 11:19:43.286000', 'p2']",Knight,Archer,0,0,0,8,"['Ellen', 'cptKav']",Knight,Rogue,03:42.1,0,0,0,0,0,0,"{'cptKav': 1230.428301030363, 'Ellen': 1235.8111228543653}","{'cptKav': 91, 'Ellen': 109}",19:44.4,2,1,
14,,,TRUE,FALSE,FALSE,[],none,"['2020-04-04 11:04:00.606000', 'p1']",Rogue,Healer,99,99,99,99,"['Ellen', 'BestWilliam']",,,,,,,,,,,,,,,
