,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
0,1,827.5,1007.52,827.5,0.6,0.608695652,0.310344828,0.163793103,3,23,1
1,1,950.634981,826.9859438,826.9859438,0.44,0.666666667,0.794334975,0.310344828,5,3,2
2,1,977.3333333,827.5,827.5,0,0.6,0.163793103,0.310344828,23,3,2
3,1,968.095122,827.5,827.5,0,0.571428571,0.166256158,0.794334975,2,5,2
4,1,827.5,826.9859438,826.9859438,0.6,0.285714286,0.310344828,0.163793103,3,23,2
5,1,1012.067843,968.095122,968.095122,0,0.5,0.310344828,0.16317734,3,18,2
6,1,977.3333333,827.5,827.5,0,0.411764706,0.794334975,0.16317734,5,18,2
7,1,827.5,977.3333333,827.5,0.586956522,0,0.306650246,0.310344828,27,3,1
8,1,1012.067843,827.5,827.5,0,0.586956522,0.099137931,0.306650246,20,27,2
9,1,977.3333333,826.9859438,826.9859438,0,0.608695652,0.310344828,0.16317734,3,18,2
10,1,977.3333333,827.5,977.3333333,1,0.666666667,0.16317734,0.116995074,18,12,1
11,1,1012.067843,950.634981,950.634981,0,0.363636364,0.099137931,0.16317734,20,18,2
12,1,968.095122,950.634981,950.634981,0.5,0.44,0.16317734,0.794334975,18,5,2
13,1,1007.52,826.9859438,826.9859438,0.608695652,0.461538462,0.163793103,0.794334975,23,5,2
14,1,977.3333333,950.634981,950.634981,0,0.52173913,0.003694581,0.306650246,21,27,2
15,1,968.095122,827.5,968.095122,0.75,0.571428571,0.099137931,0.794334975,20,5,1
16,1,968.095122,826.9859438,826.9859438,0,0.625,0.306650246,0.110837438,27,6,2
17,1,1007.52,968.095122,1007.52,0.608695652,0,0.163793103,0.166256158,23,2,1
18,1,968.095122,978.5555556,968.095122,1,0,0.155788177,0.163793103,0,23,1
19,1,978.5555556,974.8421053,978.5555556,0.5,0,0.166256158,0.166256158,2,2,1
20,1,974.8421053,993.9722222,974.8421053,0.777777778,0,0.099137931,0.16317734,20,18,1
