,balance_code,mmr_p1,mmr_p2,mmr_winner,winrate1,winrate2,strat_1,strat_2,strat_1_onehot,strat_2_onehot,winner
0,1,10151,1131,827.5,0.6,0.608695652,0.310344828,0.163793103,3,23,1
1,1,5820,8606,826.9859438,0.44,0.666666667,0.794334975,0.310344828,5,3,2
2,1,1172,10151,827.5,0,0.6,0.163793103,0.310344828,23,3,2
3,1,11810,10151,827.5,0,0.571428571,0.166256158,0.794334975,2,5,2
4,1,10151,8606,826.9859438,0.6,0.285714286,0.310344828,0.163793103,3,23,2
5,1,15558,11810,968.095122,0,0.5,0.310344828,0.16317734,3,18,2
6,1,1172,10151,827.5,0,0.411764706,0.794334975,0.16317734,5,18,2
7,1,10151,1172,827.5,0.586956522,0,0.306650246,0.310344828,27,3,1
8,1,15558,10151,827.5,0,0.586956522,0.099137931,0.306650246,20,27,2
9,1,1172,8606,826.9859438,0,0.608695652,0.310344828,0.16317734,3,18,2
10,1,1172,10151,977.3333333,1,0.666666667,0.16317734,0.116995074,18,12,1
11,1,15558,5820,950.634981,0,0.363636364,0.099137931,0.16317734,20,18,2
12,1,11810,5820,950.634981,0.5,0.44,0.16317734,0.794334975,18,5,2
13,1,1131,8606,826.9859438,0.608695652,0.461538462,0.163793103,0.794334975,23,5,2
14,1,1172,5820,950.634981,0,0.52173913,0.003694581,0.306650246,21,27,2
15,1,11810,10151,968.095122,0.75,0.571428571,0.099137931,0.794334975,20,5,1
16,1,11810,8606,826.9859438,0,0.625,0.306650246,0.110837438,27,6,2
17,1,1131,11810,1007.52,0.608695652,0,0.163793103,0.166256158,23,2,1
18,1,11810,450,968.095122,1,0,0.155788177,0.163793103,0,23,1
19,1,450,735,978.5555556,0.5,0,0.166256158,0.166256158,2,2,1
20,1,735,937,974.8421053,0.777777778,0,0.099137931,0.16317734,20,18,1
21,1,735,450,974.8421053,0.777777778,0,0.099137931,0.003694581,20,21,1
22,1,3403,450,951.6043165,0.666666667,0.5,0.16317734,0.166256158,18,2,1
23,1,5820,3403,951.6043165,0,0.5,0.163793103,0.166256158,23,2,2
24,1,3403,5820,950.634981,0.6,0.52173913,0.794334975,0.306650246,5,27,2
25,1,10151,8606,827.5,0.777777778,0.571428571,0.153325123,0.113916256,26,11,1
26,1,5885,2625,980.9196429,0.62962963,1,0.163793103,0.166256158,23,2,2
27,1,1131,450,1007.52,1,0.5,0.16317734,0.166256158,18,2,1
28,1,450,10151,827.5,0.5,0.571428571,0.09544335,0.794334975,8,5,2
29,1,450,1131,978.5555556,1,0,0.16317734,0.166256158,18,2,1
30,1,735,1131,1007.52,0.5,1,0.306650246,0.310344828,27,3,2
31,1,1092,1014,993.9166667,0.857142857,0,0.099137931,0.310344828,20,3,1
32,1,8606,735,974.8421053,0.352941176,0.777777778,0.02770936,0.099137931,22,20,2
33,1,735,1014,974.8421053,0.777777778,0.833333333,0.099137931,0.166256158,20,2,1
34,1,1092,1014,993.9166667,1,0,0.166256158,0.310344828,2,3,1
35,1,1092,8606,826.9859438,0,0.368421053,0.794334975,0.083128079,5,1,2
36,1,5820,1014,972.3818182,0.5,0.333333333,0.310344828,0.794334975,3,5,2
37,1,5820,1092,993.9166667,0.44,1,0.794334975,0.16317734,5,18,2
38,1,472,5820,1002,0.714285714,0,0.163793103,0.116995074,23,12,1
39,1,1092,1131,993.9166667,1,0.615384615,0.306650246,0.306650246,27,27,1
40,1,450,1131,1007.52,0.2,0.608695652,0,0.163793103,19,23,2
41,1,450,5820,978.5555556,0.5,0.272727273,0.09544335,0.293719212,8,9,1
42,1,10151,1014,972.3818182,0.625,0.833333333,0.113916256,0.166256158,11,2,2
43,1,5885,5820,931.742268,0.62962963,0,0.163793103,0.163793103,23,23,1
44,1,5885,1172,931.742268,0.62962963,0,0.163793103,0.310344828,23,3,1
45,1,1092,1131,1007.52,0.5,1,0.155788177,0.293719212,0,9,2
46,1,1131,103,1007.52,1,0,0.293719212,0.310344828,9,3,1
47,1,1131,8606,1007.52,1,0.352941176,0.293719212,0.02770936,9,22,1
48,1,10151,103,827.5,0.434782609,0.4,0.780788177,0.794334975,25,5,1
49,1,8606,103,826.9859438,0.5,0.4,0.003694581,0.794334975,21,5,1
50,1,11810,54,968.095122,1,0,0.02770936,0.310344828,22,3,1
51,1,10151,1131,1007.52,0.323529412,0.608695652,0.083128079,0.163793103,1,23,2
52,1,1131,10151,1007.52,1,0.625,0.780788177,0.113916256,25,11,1
53,1,1092,1131,1007.52,0,1,0.780788177,0,25,19,2
54,1,8606,1131,826.9859438,0.409090909,0,0.980295567,0.099137931,7,20,1
55,1,450,103,978.5555556,0.5,0.4,0.014778325,0.794334975,4,5,1
56,1,11810,1092,993.9166667,0.5,0.5,0.168719212,0.155788177,10,0,2
57,1,2345,10151,992.6899225,0.714285714,0.625,0.310344828,0.113916256,3,11,1
58,1,5885,2625,980.9196429,0.62962963,1,0.163793103,0.163793103,23,23,2
59,1,3927,1131,1007.52,0.3,0.608695652,0.794334975,0.163793103,5,23,2
60,1,2345,1014,972.3818182,0.714285714,0.833333333,0.310344828,0.166256158,3,2,2
61,1,450,2345,992.6899225,0.2,0.714285714,0,0.310344828,19,3,2
62,1,280,1014,998.2307692,0.666666667,0.333333333,0.16317734,0.794334975,18,5,1
63,1,2345,450,992.6899225,0.714285714,0.5,0.310344828,0.014778325,3,4,1
64,1,450,1014,978.5555556,0.75,0,0.233990148,0.163793103,15,23,1
65,1,54,1131,1007.52,0,0.608695652,0.163793103,0.163793103,23,23,2
66,1,2345,10151,827.5,0.714285714,0.5,0.310344828,1,3,17,2
67,1,10151,8606,826.9859438,0.461538462,0.333333333,0.756157635,0.166256158,16,2,2
68,1,1131,11810,1007.52,1,0.5,0.756157635,0.233990148,16,15,1
69,1,5885,2625,931.742268,0.62962963,0,0.163793103,0.110837438,23,6,1
70,1,10151,3927,827.5,1,0.3,0.155788177,0.794334975,0,5,1
71,1,8606,3927,826.9859438,0.625,0,0.110837438,0.166256158,6,2,1
72,1,1131,5820,950.634981,0.608695652,1,0.163793103,0.168719212,23,10,2
73,1,1131,11810,1007.52,0.608695652,0.5,0.163793103,0.168719212,23,10,1
74,1,5885,2625,931.742268,0.62962963,0.75,0.163793103,0.155788177,23,0,1
75,1,2345,450,992.6899225,1,0,0.099137931,0.083128079,20,1,1
76,1,450,11810,968.095122,0.384615385,0.5,0.104064039,0.233990148,13,15,2
77,1,1131,450,978.5555556,0.608695652,0.5,0.163793103,0.166256158,23,2,2
78,1,1131,450,1007.52,0.608695652,0.384615385,0.163793103,0.104064039,23,13,1
79,1,1131,8606,826.9859438,0.608695652,0.352941176,0.163793103,0.02770936,23,22,2
80,1,450,1131,1007.52,0,0.608695652,1,0.163793103,17,23,2
81,1,1131,450,1007.52,0.608695652,0.2,0.163793103,0,23,19,1
82,1,10151,1092,993.9166667,0.323529412,1,0.083128079,1,1,17,2
83,1,450,1131,1007.52,0.2,0.608695652,0,0.163793103,19,23,2
84,1,1131,3927,1007.52,0.608695652,0,0.163793103,0.310344828,23,3,1
85,1,5885,2625,931.742268,0.62962963,0.333333333,0.163793103,0,23,19,1
86,1,533,1092,993.9166667,0.6,1,0.163793103,0.110837438,23,6,2
87,1,2345,8606,826.9859438,0.4375,0.666666667,0.794334975,0.116995074,5,12,2
88,1,10151,8606,826.9859438,0.5,0.571428571,1,0.113916256,17,11,2
89,1,1131,8606,1007.52,0.608695652,0.368421053,0.163793103,0.083128079,23,1,1
90,1,10151,735,974.8421053,0.461538462,1,0.756157635,0.116995074,16,12,2
91,1,450,3927,928.4565217,0,0.588235294,0.163793103,0.163793103,23,23,2
92,1,5885,2625,931.742268,0.62962963,0.375,0.163793103,1,23,17,1
93,1,5885,2625,980.9196429,0.62962963,0.142857143,0.163793103,0.116995074,23,12,2
94,1,5885,2625,931.742268,0.5,0.142857143,0.166256158,0.116995074,2,12,1
95,1,5885,2625,931.742268,0.75,0.142857143,0.306650246,0.116995074,27,12,1
96,1,5885,2625,980.9196429,0.285714286,0.75,0.113916256,0.155788177,11,0,2
97,1,5885,1092,993.9166667,0.5,0.333333333,0.166256158,0.113916256,2,11,2
98,1,1172,10151,827.5,0,0.625,0.116995074,0.113916256,12,11,2
99,1,8606,450,978.5555556,0.666666667,0.384615385,0.310344828,0.104064039,3,13,2
100,1,5885,2625,980.9196429,0,0.5,0.168719212,0.113916256,10,11,2
101,1,937,533,993.9722222,0.75,0.5,0.794334975,0.310344828,5,3,1
102,1,3927,533,928.4565217,0.588235294,0.5,0.163793103,0.310344828,23,3,1
103,1,937,533,999.6315789,0.666666667,0.6,0.099137931,0.163793103,20,23,2
104,1,5885,2625,980.9196429,0.411764706,0.666666667,0.980295567,0.153325123,7,26,2
105,1,937,533,999.6315789,0.75,0.5,0.794334975,0.310344828,5,3,2
106,1,937,5820,993.9722222,0.75,0.44,0.794334975,0.794334975,5,5,1
107,1,5885,2625,980.9196429,0.411764706,0.5,0.980295567,0.113916256,7,11,2
108,1,1131,5820,1007.52,0.608695652,0.52173913,0.163793103,0.306650246,23,27,1
109,1,937,280,993.9722222,1,0.666666667,0.166256158,0.16317734,2,18,1
110,1,280,10151,998.2307692,1,0.323529412,0.794334975,0.083128079,5,1,1
111,1,280,3927,998.2307692,1,0.3,0.166256158,0.794334975,2,5,1
112,1,280,3927,928.4565217,0,1,0.099137931,0.099137931,20,20,2
113,1,1131,10151,827.5,0.608695652,0.461538462,0.163793103,0.756157635,23,16,2
114,1,1131,10151,827.5,0.608695652,0.5,0.163793103,1,23,17,2
115,1,1131,8606,826.9859438,0.608695652,0.625,0.163793103,0.110837438,23,6,2
116,1,1131,10151,1007.52,0.615384615,0.5,0.306650246,1,27,17,1
117,1,3927,103,993.4285714,0,0.4,0.003694581,0.794334975,21,5,2
118,1,1131,10151,827.5,0.615384615,0.586956522,0.306650246,0.306650246,27,27,2
119,1,10151,937,993.9722222,0.586956522,0.529411765,0.306650246,0.306650246,27,27,2
120,1,5885,2625,931.742268,0.285714286,0.5,0.113916256,0.113916256,11,11,1
121,1,5885,2345,992.6899225,0.62962963,0.4375,0.163793103,0.794334975,23,5,2
122,1,5885,2625,980.9196429,0.7,0.5,0.756157635,0.794334975,16,5,2
123,1,5885,2625,980.9196429,0.7,0.6,0.756157635,0.756157635,16,16,2
124,1,5885,2625,931.742268,0.7,0.142857143,0.756157635,0.116995074,16,12,1
125,1,5885,2625,980.9196429,0.411764706,1,0.980295567,0.168719212,7,10,2
126,1,8606,1131,826.9859438,0.363636364,0.615384615,0.233990148,0.306650246,15,27,1
127,1,5885,2345,931.742268,0.285714286,0.4375,0.113916256,0.794334975,11,5,1
128,1,5885,2625,980.9196429,0.411764706,0.59375,0.980295567,0.780788177,7,25,2
129,1,2345,450,978.5555556,0.4375,0.384615385,0.794334975,0.104064039,5,13,2
130,1,5885,2625,980.9196429,0.285714286,1,0.113916256,0.168719212,11,10,2
131,1,5885,2625,931.742268,0.411764706,0,0.980295567,0.293719212,7,9,1
132,1,1131,2345,992.6899225,0.608695652,0.4375,0.163793103,0.794334975,23,5,2
133,1,3927,10151,827.5,0.3,0.586956522,0.794334975,0.306650246,5,27,2
134,1,10151,2345,827.5,0.461538462,0.4375,0.756157635,0.794334975,16,5,1
135,1,1131,1092,1007.52,0.608695652,0.666666667,0.163793103,0.980295567,23,7,1
136,1,2345,1131,992.6899225,0.4375,0.615384615,0.794334975,0.306650246,5,27,1
137,1,1131,2345,1007.52,0.615384615,0,0.306650246,0.110837438,27,6,1
138,1,10151,2625,980.9196429,0.5,0.59375,1,0.780788177,17,25,2
139,1,5885,2625,980.9196429,0.5,0.333333333,0.293719212,0,9,19,2
140,1,10151,8606,827.5,0.444444444,0.681818182,0.233990148,0.09544335,15,8,1
141,1,2345,1131,1007.52,0,1,0.306650246,0.003694581,27,21,2
142,1,280,1131,1007.52,0,0.615384615,0.110837438,0.306650246,6,27,2
143,1,1014,2345,992.6899225,0,0.714285714,0.306650246,0.310344828,27,3,2
144,1,5820,1014,950.634981,0.6,0,0.153325123,0.110837438,26,6,1
145,1,10151,2345,827.5,0.461538462,0.764705882,0.756157635,0.155788177,16,0,1
146,1,5885,2625,980.9196429,0.411764706,0.6,0.980295567,0.756157635,7,16,2
147,1,5885,2625,980.9196429,0,1,0.116995074,0.168719212,12,10,2
148,1,10151,5885,931.742268,0.461538462,0.411764706,0.756157635,0.980295567,16,7,2
149,1,2625,10151,827.5,0.466666667,0.444444444,0.083128079,0.233990148,1,15,2
150,1,5885,10151,827.5,0.285714286,0.461538462,0.113916256,0.756157635,11,16,2
151,1,5885,2625,931.742268,0.411764706,0.333333333,0.980295567,0,7,19,1
152,1,1092,2047,981.7468354,0,0.5,0.014778325,0.794334975,4,5,2
153,1,5885,2625,931.742268,0.62962963,0.59375,0.163793103,0.780788177,23,25,1
154,1,2047,937,993.9722222,0.5,0.666666667,0.794334975,0.099137931,5,20,2
155,1,5885,2625,931.742268,0.7,0.5,0.756157635,0.113916256,16,11,1
156,1,450,1131,1007.52,0.75,0.615384615,0.233990148,0.306650246,15,27,2
157,1,5885,2625,980.9196429,0.285714286,0.59375,0.113916256,0.780788177,11,25,2
158,1,2047,280,998.2307692,0.5,0.666666667,0.794334975,0.16317734,5,18,2
159,1,3927,1014,928.4565217,1,0,0.099137931,0.110837438,20,6,1
160,1,5885,10151,931.742268,0.7,0.5,0.756157635,1,16,17,1
161,1,1131,8606,1007.52,0.615384615,0.285714286,0.306650246,0.163793103,27,23,1
162,1,10151,2345,827.5,0.777777778,0,0.153325123,0.113916256,26,11,1
163,1,2345,450,978.5555556,0.4375,0.384615385,0.794334975,0.104064039,5,13,2
164,1,2345,450,978.5555556,0.4375,0.75,0.794334975,0.233990148,5,15,2
165,1,450,10151,827.5,0.384615385,0.444444444,0.104064039,0.233990148,13,15,2
166,1,2345,450,992.6899225,0.4375,0.384615385,0.794334975,0.104064039,5,13,1
167,1,1131,10151,827.5,0.615384615,0.777777778,0.306650246,0.153325123,27,26,2
168,1,1131,8606,1007.52,0.615384615,0.222222222,0.306650246,0.099137931,27,20,1
169,1,8606,1131,1007.52,0.222222222,1,0.099137931,0.153325123,20,26,2
170,1,2345,3216,992.6899225,0.4375,0.2,0.794334975,0.794334975,5,5,1
171,1,280,1014,972.3818182,0,0.666666667,0.155788177,0.155788177,0,0,2
172,1,280,1014,998.2307692,1,0,0.09544335,0.09544335,8,8,1
173,1,280,3927,998.2307692,1,0.3,0.794334975,0.794334975,5,5,1
174,1,1131,2047,1007.52,0.615384615,0.5,0.306650246,0.794334975,27,5,1
175,1,10151,1092,993.9166667,0.461538462,0.666666667,0.756157635,0.980295567,16,7,2
176,1,10151,3216,827.5,0.586956522,0.4,0.306650246,0.163793103,27,23,1
177,1,937,8606,993.9722222,0.75,0.363636364,0.794334975,0.233990148,5,15,1
178,1,5885,2625,980.9196429,0.285714286,0.5,0.113916256,0.980295567,11,7,2
179,1,5885,1131,1007.52,0.62962963,0.615384615,0.163793103,0.306650246,23,27,2
180,1,280,2047,981.7468354,0,1,0.116995074,0.099137931,12,20,2
181,1,937,8606,826.9859438,0.529411765,0.352941176,0.306650246,0.153325123,27,26,2
182,1,5885,1014,931.742268,0.62962963,0,0.163793103,0.003694581,23,21,1
183,1,533,937,999.6315789,0.6,0,0.163793103,0.003694581,23,21,1
184,1,11810,2047,981.7468354,0.5,0.5,0.233990148,0.794334975,15,5,2
185,1,705,2345,992.6899225,0,0.4375,0.794334975,0.794334975,5,5,2
186,1,2345,705,992.6899225,0.4375,0,0.794334975,0.310344828,5,3,1
187,1,11810,10151,968.095122,0.5,0.461538462,0.233990148,0.756157635,15,16,1
188,1,10151,8606,826.9859438,0.5,0.571428571,1,0.113916256,17,11,2
