,Username,Played,Won,tag_bg,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill,win_rate,Knight_played,Archer_played,Rogue_played,Healer_played,Wizard_played,Barbarian_played,Monk_played,Gunner_played,Knight_win,Archer_win,Rogue_win,Healer_win,Wizard_win,Barbarian_win,Monk_win,Gunner_win
0,wasyl2001,3,3,cosmic,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 3, 'R': 3, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 3, 'R': 3, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,220,2020-05-25 13:44:18.018000,"[0, 0, 0, 3, 3, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 1, 1, 220, 0, 0, 3, 3, 66, 0, 3, 3, 1, 0, 3, 0, 0, 3, 1, 0, 0, 0, 0, 0, 2, 220, 2380, 0, 0, 0, 0, 0, 0, 0]",1190.2638055427544,,220,100.0,0,3,3,0,0,0,0,0,0,3,3,0,0,0,0,0
1,Frostspear,1,1,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 1, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 1, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",False,40,2020-05-19 00:42:10.073000,"[0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 40, 0, 0, 1, 1, 44, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 6, 0, 0, 0, 0, 0, 40, 0, 40, 0, 0, 0, 0, 0, 0]",1216.0,,40,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
2,bingoboy,1,1,green,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 1, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 1, 'H': 1, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,41,2020-05-14 17:15:32.905000,"[0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 41, 0, 0, 1, 1, 43, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 41, 104, 0, 0, 0, 0, 0, 0, 0]",1218.9258461915633,,41,100.0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0
3,superrad,1,1,blue,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 1, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 1, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,50,2020-04-09 20:02:10.860000,"[0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 50, 1294, 0, 1, 1, 48, 0, 1, 1, 0, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1205.2018293746496,,0,100.0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
4,grobis,1,1,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,83,2020-04-08 03:31:20.966000,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 83, 245, 0, 1, 1, 63, 0, 1, 1, 0, 0, 1, 1, 0, 7, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1204.8769697925436,,0,100.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
5,KingCheese,1,1,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 1, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,60,2020-08-23 22:50:37.295000,"[0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 60, 0, 40, 1, 1, 57, 0, 1, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1200.0,,10,100.0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
6,7Name1eSs,2,2,orange,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 2, 'R': 0, 'H': 2, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 2, 'R': 0, 'H': 2, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,181,2020-05-24 04:48:04.683000,"[0, 0, 0, 2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 181, 0, 0, 2, 2, 64, 0, 2, 2, 1, 0, 2, 0, 0, 6, 0, 29, 0, 0, 0, 0, 0, 181, 19, 0, 0, 0, 0, 0, 0, 0]",1248.2467559477489,,181,100.0,0,2,0,2,0,0,0,0,0,2,0,2,0,0,0,0
7,oxocube,2,2,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 2, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 1, 'A': 2, 'R': 1, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",True,120,2020-04-14 18:52:16.501000,"[1, 1, 0, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 0, 120, 1728, 0, 2, 2, 60, 0, 2, 2, 1, 0, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1205.3368888757611,,0,100.0,1,2,1,0,0,0,0,0,1,2,1,0,0,0,0,0
8,V4ssilios,11,8,geometric,"['none', 'none', 'none', 'none', 'none']","{'K': 3, 'A': 4, 'R': 4, 'H': 3, 'W': 0, 'B': 2, 'M': 0, 'G': 0}","{'K': 5, 'A': 5, 'R': 5, 'H': 4, 'W': 1, 'B': 2, 'M': 0, 'G': 0}",True,389,2020-05-19 19:28:01.941000,"[1, 3, 1, 4, 5, 4, 4, 3, 0, 0, 0, 2, 0, 0, 0, 0, 25, 0, 0, 389, 0, 0, 5, 5, 72, 0, 11, 5, 1, 2, 8, 4, 0, 5, 0, 10, 1, 0, 2, 0, 6, 389, 2256, 0, 0, 0, 0, 0, 0, 0]",1221.5496926833023,"['Chrispie111', 'Tharry0']",389,72.72727272727273,5,5,5,4,1,2,0,0,3,4,4,3,0,2,0,0
9,Baepsae,7,5,purple,"['none', 'none', 'none', 'none', 'none']","{'K': 2, 'A': 5, 'R': 0, 'H': 3, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 3, 'A': 7, 'R': 0, 'H': 4, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",False,222,2020-05-16 21:19:31.699000,"[2, 2, 1, 5, 0, 0, 4, 3, 0, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 222, 0, 0, 3, 2, 65, 0, 7, 7, 0, 2, 5, 0, 0, 5, 2, 0, 0, 0, 2, 0, 2, 222, 2139, 0, 0, 0, 0, 0, 0, 0]",1220.5416728758273,"['Ezzey', 'ECDr']",222,71.42857142857143,3,7,0,4,0,0,0,0,2,5,0,3,0,0,0,0
