,Username,Played,Won,losses,winrate,newmmr,Games,count_character_has_won,count_character_has_been_played,accepting_games,skill_points,last_logged_in,badge_progressions,elo,lost_against,current_season_skill
0,probablytom,263,137,126,0.520912548,950.634981,"['none', 'none', 'none', 'none', 'none']","{'K': 16, 'A': 33, 'R': 47, 'H': 33, 'W': 24, 'B': 54, 'M': 32, 'G': 35}","{'K': 43, 'A': 70, 'R': 97, 'H': 54, 'W': 46, 'B': 94, 'M': 48, 'G': 66}",TRUE,5820,49:51.2,"[24, 16, 27, 33, 83, 47, 41, 33, 19, 24, 26, 54, 12, 32, 27, 35, 642, 4, 1, 5820, 1054, 2284, 7, 0, 98, 43, 259, 97, 32, 5, 137, 22, 31, 38, 153, 29, 53, 1, 10, 2, 31, 2469, 7729, 837, 0, 0, 0, 0, 0, 0]",569.4768807,"['cute320215', 'Mageofheart', 'BestWilliam', 'grobis', 'CalHaribo', 'Etess', 'Sabotage', 'MarkyMark74', 'tanini', 'elennon', 'tanini', 'CalHaribo', 'deathseeker', 'probablyrob', 'jonildo', 'kubajj', 'cwallis', 'walshy1066', 'basta', 'Ellen', 'elennon', 'Apollogize', 'Ellen', 'Apollogize', 'Schmofe', 'walshy1066', 'sstein', 'apropos0', 'sophie', 'Ellen', 'basta', 'apropos0', 'sophie', 'sophie', 'Frp97', 'Luca1802', 'l17r', 'Beth', 'sstein', 'l17r', 'Beth', 'walshy1066', 'sophie', 'Frp97', 'basta', 'l17r', 'l17r', 'l17r', 'l17r', 'Frp97', 'Beth', 'Ezzey', 'l17r', 'Martin', 'l17r', 'Ellen', 'basta', 'aaaa', 'Frp97', 'Luca1802', 'DX13', 'Luca1802', 'Frp97', 'Frp97', 'Beccccca', 'DavetheRave', 'Frp97', 'Deanerbeck', 'apropos0']",2469
1,cptKav,498,233,265,0.467871486,826.9859438,"['waiting', 'none', 'none', 'none', 'none']","{'K': 58, 'A': 92, 'R': 56, 'H': 53, 'W': 38, 'B': 80, 'M': 38, 'G': 51}","{'K': 118, 'A': 183, 'R': 133, 'H': 102, 'W': 94, 'B': 148, 'M': 94, 'G': 120}",TRUE,8606,44:48.4,"[51, 58, 111, 92, 67, 56, 44, 53, 46, 38, 66, 80, 58, 38, 53, 51, 522, 2, 1, 8606, 1279, 3792, 9, 0, 100, 94, 496, 183, 62, 17, 233, 11, 10, 490, 30, 9, 120, 1, 12, 2, 10, 4761, 4529, 2387, 0, 0, 0, 0, 0, 0]",696.980879,"['demander', 'Mageofheart', 'BestWilliam', 'BestWilliam', 'BestWilliam', 'Mageofheart', 'Mageofheart', 'Mageofheart', 'Mageofheart', 'sidb', 'sidb', 'Alliyana', 'TheMaster', 'Alliyana', 'creilly2', 'CalHaribo', 'Etess', 'whiplash', 'tanini', 'tanini', 'whiplash', 'kubajj', 'probablytom', 'kubajj', 'Jamie', 'meow', 'Jamie', 'Jamie', 'bladestoe', 'Jamie', 'Fbomb', 'norgart', 'mosam1311', 'Fbomb', 'Fbomb', 'creilly1', 'Fbomb', 'Ellen', 'basta', 'creilly1', 'basta', 'basta', 'creilly1', 'Ellen', 'Ellen', 'Fbomb', 'Paddy', 'Ellen', 'Fbomb', 'georgedo', 'creilly1', 'creilly1', 'alan', 'jack', 'pool27', 'georgedo', 'jack', 'basta', 'sstein', 'Frp97', 'Ellen', 'Ellen', 'Frp97', 'creilly1', 'sstein', 'ECDr', 'sstein', 'creilly1', 'Master4444', 'Frp97', 'georgedo', 'Ellen', 'BetterThanU', 'Nonni', 'Ellen', 'Jhannah', 'Ellen', 'sstein', 'probablytom', 'sstein', 'Andy', 'sstein', 'jaymoney', 'jaymoney', 'wasyl2001', 'Frp97', 'georgedo', 'ECDr', 'jaymoney', 'aaaa', 'sstein', 'sstein', 'dalinar', 'eggface', 'creilly1', 'creilly1', 'timri', 'timri', 'ECDr', 'ECDr', 'Ezzey', 'ECDr', 'apropos0', 'ECDr', 'ECDr', 'apropos0', 'creilly1', 'apropos0', 'BerrySauce', 'apropos0', 'Ellen', 'Nari', 'Deanerbeck', 'timri', 'timri', 'ECDr', 'Deanerbeck', 'Nari', 'ECDr', 'Deanerbeck', 'Deanerbeck', 'Luca1802', 'apropos0', 'apropos0', 'l17r', 'Nari', 'l17r', 'Luca1802', 'l17r', 'Luca1802', 'apropos0', 'timri', 'Luca1802', 'Deanerbeck', 'DX13', 'Luca1802', 'dalinar', 'DX13', 'l17r', 'dalinar', 'probablytom', 'DX13', 'vinl']",4761
2,Royce,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",FALSE,0,55:55.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
3,BestWilliam,50,32,18,0.64,1007.52,"['none', 'none', 'none', 'none', 'none']","{'K': 19, 'A': 1, 'R': 24, 'H': 3, 'W': 10, 'B': 3, 'M': 3, 'G': 1}","{'K': 28, 'A': 2, 'R': 39, 'H': 5, 'W': 15, 'B': 3, 'M': 3, 'G': 1}",TRUE,1131,18:38.7,"[10, 19, 0, 1, 28, 24, 4, 3, 4, 10, 1, 3, 1, 3, 0, 1, 174, 0, 0, 1131, 55, 1001, 9, 3, 100, 1, 48, 39, 14, 2, 32, 13, 1, 41, 0, 0, 13, 1, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1262.801108,"['Ellen', 'Ellen', 'Ellen']",0
4,Ellen,690,345,345,0.5,827.5,"['none', 'none', 'none', 'none', 'none']","{'K': 34, 'A': 29, 'R': 102, 'H': 42, 'W': 94, 'B': 147, 'M': 22, 'G': 220}","{'K': 64, 'A': 62, 'R': 199, 'H': 89, 'W': 172, 'B': 281, 'M': 43, 'G': 456}",TRUE,10151,52:27.6,"[29, 34, 42, 29, 114, 102, 81, 42, 151, 94, 190, 147, 17, 22, 59, 220, 1329, 3, 1, 10171, 271, 3699, 9, 0, 100, 43, 683, 456, 90, 34, 345, 106, 35, 347, 135, 0, 189, 1, 10, 2, 31, 5468, 1568, 4131, 0, 0, 0, 0, 0, 0]",5853.154155,"['Marta', 'CalHaribo', 'Jules_217', 'CalHaribo', 'Gerr', 'sidb', 'Gerr', 'CalHaribo', 'creilly2', 'Rarno', 'TheMaster', 'Marta', 'superrad', 'cute320215', 'astrospanner', 'creilly2', 'Gerr', 'Gerr', 'versatile', 'versatile', 'oxocube', 'asdf', 'Gerr', 'Gerr', 'bcslippers', 'CalHaribo', 'probablyrob', 'charlotte', 'kubajj', 'tanini', 'kubajj', 'kubajj', 'Etess', 'ECDr', 'meow', 'meow', 'meow', 'meow', 'cwallis', 'cwallis', 'umachan', 'DoctorW', 'Jamie', 'DoctorW', 'creilly1', 'cwallis', 'Nonni', 'Sidthesloth', 'walshy1066', 'timri', 'timri', 'Beth', 'walshy1066', 'umachan', 'walshy1066', 'creilly1', 'mosam1311', 'Benlog', 'dalinar', 'timri', 'timri', 'timri', 'Silver', 'timri', 'timri', 'deathseeker', 'timri', 'Apollogize', 'Beth', 'timri', 'Morntato', 'sophie', 'Beth', 'georgedo', 'Jhannah', 'adamski5298', 'Nonni', 'Chrispie111', 'Chrispie111', 'Baepsae', 'ECDr', 'georgedo', 'Andy', 'georgedo', 'jaymoney', 'probablytom', 'creilly1', 'Tharry0', 'V4ssilios', 'eggface', 'Beth', 'basta', 'ECDr', 'Andy', 'timri', 'timri', 'basta', 'sstein', 'chins', 'Ezzey', 'creilly1', 'basta', 'Jules', 'Jules', 'BerrySauce', 'timri', 'Frp97', 'apropos0', 'Frp97', 'Jules', 'l17r', 'Martin', 'BerrySauce', 'Luca1802', 'l17r', 'Deanerbeck', 'l17r', 'Deanerbeck', 'l17r', 'ECDr', 'l17r', 'l17r', 'Beccccca', 'l17r', 'apropos0', 'elennon', 'Luca1802', 'timri', 'l17r', 'Luca1802', 'dalinar', 'ECDr', 'l17r', 'l17r', 'timri', 'DavetheRave', 'DavetheRave', 'Beccccca', 'Beccccca', 'Frp97', 'l17r', 'Deanerbeck', 'l17r', 'l17r', 'Beccccca', 'dalinar', 'DX13', 'vinl', 'Luca1802']",5448
5,alanismcq,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,36:56.1,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
6,Frp97,737,436,301,0.591587517,1012.067843,"[None, None, None, None, None]","{'K': 4, 'A': 0, 'R': 10, 'H': 2, 'W': 11, 'B': 421, 'M': 11, 'G': 413}","{'K': 8, 'A': 2, 'R': 16, 'H': 8, 'W': 26, 'B': 700, 'M': 19, 'G': 683}",TRUE,15558,22:33.9,"[3, 4, 1, 0, 10, 10, 6, 2, 19, 11, 605, 421, 9, 11, 78, 413, 625, 0, 1, 15558, 2459, 2110, 11, 1, 99, 2, 731, 700, 45, 82, 436, 124, 8, 113, 345, 53, 224, 1, 5, 0, 47, 12358, 795, 10984, 0, 0, 0, 0, 0, 0]",11600.39076,"['asdf', 'LewisDyer', 'totem37', 'totem37', 'umachan', 'georgedo', 'kubajj', 'deathseeker', 'sophie', 'DoctorW', 'basta', 'pool27', 'basta', 'deathseeker', 'apropos0', 'georgedo', 'basta', 'sstein', 'basta', 'sstein', 'basta', 'walshy1066', 'walshy1066', 'georgedo', 'walshy1066', 'basta', 'Jhannah', 'ECDr', 'walshy1066', 'tickler', 'bobabell', 'bobabell', 'sstein', 'apropos0', 'apropos0', 'V4ssilios', 'alcam456', 'sophie', 'basta', 'basta', 'ECDr', 'jaymoney', 'basta', 'Nari', 'ECDr', 'apropos0', 'aaaa', 'aaaa', 'ECDr', 'Ellen', 'BerrySauce', 'Ellen', 'Ellen', 'Jules', 'Ellen', 'aaaa', 'BerrySauce', 'BerrySauce', 'ECDr', 'BerrySauce', 'ECDr', 'Ellen', 'DX13', 'Luca1802', 'vinl', 'DX13', 'probablytom', 'timri', 'timri', 'timri', 'Tharry0']",12358
7,Avodado14,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,23:14.0,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
8,Smellinda,0,0,0,0,1000,"['none', 'none', 'none', 'none', 'none']","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}","{'K': 0, 'A': 0, 'R': 0, 'H': 0, 'W': 0, 'B': 0, 'M': 0, 'G': 0}",TRUE,0,37:13.6,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1200,,0
9,Sabotage,54,24,30,0.444444444,977.3333333,"['none', 'none', 'none', 'none', 'none']","{'K': 1, 'A': 0, 'R': 0, 'H': 3, 'W': 0, 'B': 0, 'M': 23, 'G': 21}","{'K': 5, 'A': 4, 'R': 2, 'H': 6, 'W': 4, 'B': 3, 'M': 43, 'G': 39}",TRUE,1172,24:34.1,"[1, 1, 3, 0, 1, 0, 5, 3, 4, 0, 0, 0, 37, 23, 2, 21, 63, 0, 2, 1172, 836, 450, 7, 0, 88, 2, 53, 43, 7, 3, 24, 18, 2, 2, 9, 29, 4, 1, 7, 3, 0, 10, 0, 0, 0, 0, 0, 0, 0, 0]",1184.429242,"['Ellen', 'Ellen', 'cptKav', 'georgedo', 'Ellen', 'cptKav', 'DoctorW', 'Ellen', 'Ellen', 'Ellen', 'l17r', 'creilly1', 'creilly1', 'Ellen', 'kubajj', 'norgart', 'Deanerbeck', 'l17r', 'Beth', 'Beth', 'Ellen', 'timri', 'basta', 'Ellen', 'Beth']",10
