week,player1,player2,balance_code,playerwin,char1,char2
17,Apollogize,Fbomb,1.2,Fbomb,Archer,Barbarian
17,Apollogize,Fbomb,1.2,Fbomb,Archer,Gunner
17,Apollogize,Frp97,1.2,Apollogize,Archer,Wizard
17,Apollogize,Frp97,1.2,Apollogize,Gunner,Barbarian
17,Apollogize,Frp97,1.2,Frp97,Gunner,Barbarian
17,Apollogize,Frp97,1.2,Frp97,Wizard,Archer
17,Apollogize,Paddy,1.2,Paddy,Monk,Archer
17,Apollogize,Paddy,1.2,Paddy,Wizard,Gunner
17,Apollogize,cptKav,1.2,Apollogize,Archer,Monk
17,Apollogize,cptKav,1.2,Apollogize,Wizard,Archer
17,Apollogize,dalinar,1.2,dalinar,Archer,Knight
17,Apollogize,dalinar,1.2,dalinar,Wizard,Archer
17,Apollogize,probablytom,1.2,Apollogize,Barbarian,Archer
17,Apollogize,probablytom,1.2,Apollogize,Barbarian,Wizard
17,Apollogize,sophie,1.2,Apollogize,Knight,Barbarian
17,Apollogize,sophie,1.2,Apollogize,Wizard,Archer
17,Apollogize,sstein,1.2,sstein,Knight,Archer
17,Apollogize,sstein,1.2,sstein,Wizard,Archer
17,Apollogize,walshy1066,1.2,walshy1066,Monk,Rogue
17,Apollogize,walshy1066,1.2,walshy1066,Wizard,Archer
17,Atrps,cptKav,1.2,cptKav,Archer,Knight
17,Atrps,cptKav,1.2,cptKav,Rogue,Healer
17,Beth,Frp97,1.2,Frp97,Barbarian,Rogue
17,Beth,Frp97,1.2,Frp97,Gunner,Barbarian
17,Beth,Sidthesloth,1.2,Beth,Gunner,Barbarian
17,Beth,Sidthesloth,1.2,Beth,Knight,Wizard
17,Beth,demander,1.2,demander,Gunner,Archer
17,Beth,demander,1.2,demander,Gunner,Knight
17,DavetheRave,Fbomb,1.2,Fbomb,Barbarian,Knight
17,DavetheRave,Fbomb,1.2,Fbomb,Monk,Barbarian
17,Deanerbeck,Apollogize,1.2,Deanerbeck,Barbarian,Archer
17,Deanerbeck,Apollogize,1.2,Deanerbeck,Monk,Rogue
17,Deanerbeck,Apollogize,1.2,Deanerbeck,Wizard,Archer
17,Deanerbeck,apropos0,1.2,Deanerbeck,Monk,Rogue
17,Deanerbeck,apropos0,1.2,apropos0,Gunner,Rogue
17,Deanerbeck,apropos0,1.2,apropos0,Monk,Rogue
17,Deanerbeck,cptKav,1.2,cptKav,Archer,Knight
17,Deanerbeck,cptKav,1.2,cptKav,Barbarian,Rogue
17,Deanerbeck,cptKav,1.2,cptKav,Monk,Rogue
17,Deanerbeck,creilly1,1.2,Deanerbeck,Gunner,Rogue
17,Deanerbeck,creilly1,1.2,Deanerbeck,Wizard,Rogue
17,Deanerbeck,georgedo,1.2,Deanerbeck,Knight,Monk
17,Deanerbeck,georgedo,1.2,Deanerbeck,Monk,Rogue
17,Deanerbeck,l17r,1.2,Deanerbeck,Archer,Rogue
17,Deanerbeck,l17r,1.2,Deanerbeck,Monk,Rogue
17,DoctorW,Luca1802,1.2,Luca1802,Barbarian,Gunner
17,DoctorW,Luca1802,1.2,Luca1802,Monk,Rogue
17,DoctorW,l17r,1.2,DoctorW,Monk,Barbarian
17,DoctorW,l17r,1.2,DoctorW,Monk,Rogue
17,ECDr,Atrps,1.2,ECDr,Barbarian,Healer
17,ECDr,Atrps,1.2,ECDr,Gunner,Wizard
17,ECDr,Deanerbeck,1.2,Deanerbeck,Gunner,Wizard
17,ECDr,Deanerbeck,1.2,Deanerbeck,Monk,Rogue
17,ECDr,Fbomb,1.2,ECDr,Gunner,Wizard
17,ECDr,Fbomb,1.2,ECDr,Monk,Rogue
17,ECDr,Frp97,1.2,ECDr,Gunner,Barbarian
17,ECDr,Frp97,1.2,ECDr,Gunner,Wizard
17,ECDr,Sidthesloth,1.2,ECDr,Gunner,Wizard
17,ECDr,Sidthesloth,1.2,ECDr,Knight,Wizard
17,ECDr,sstein,1.2,ECDr,Gunner,Rogue
17,ECDr,sstein,1.2,ECDr,Gunner,Wizard
17,ECDr,timri,1.2,ECDr,Gunner,Barbarian
17,ECDr,timri,1.2,ECDr,Gunner,Wizard
17,Ellen,Frp97,1.2,Ellen,Barbarian,Wizard
17,Ellen,Frp97,1.2,Ellen,Gunner,Barbarian
17,Ellen,Frp97,1.2,Ellen,Monk,Gunner
17,Ellen,Frp97,1.2,Frp97,Gunner,Barbarian
17,Ellen,Frp97,1.2,Frp97,Knight,Healer
17,Ellen,Paddy,1.2,Paddy,Knight,Healer
17,Ellen,Paddy,1.2,Paddy,Monk,Barbarian
17,Ellen,cptKav,1.2,Ellen,Barbarian,Healer
17,Ellen,cptKav,1.2,Ellen,Wizard,Gunner
17,Ellen,georgedo,1.2,Ellen,Archer,Wizard
17,Ellen,georgedo,1.2,Ellen,Barbarian,Rogue
17,Ellen,georgedo,1.2,Ellen,Knight,Archer
17,Ellen,georgedo,1.2,Ellen,Knight,Gunner
17,Ellen,georgedo,1.2,georgedo,Knight,Gunner
17,Ellen,georgedo,1.2,georgedo,Knight,Rogue
17,Ellen,probablytom,1.2,Ellen,Gunner,Barbarian
17,Ellen,probablytom,1.2,Ellen,Knight,Healer
17,Ellen,sstein,1.2,sstein,Healer,Gunner
17,Ellen,sstein,1.2,sstein,Knight,Archer
17,Ellen,timri,1.2,Ellen,Gunner,Barbarian
17,Ellen,timri,1.2,Ellen,Wizard,Archer
17,Ellen,timri,1.2,timri,Gunner,Barbarian
17,Ellen,timri,1.2,timri,Knight,Barbarian
17,Fbomb,apropos0,1.2,apropos0,Monk,Rogue
