player1,player2,strat_1,strat_2,balance_code,playerwin
Ellen,BestWilliam,AK,KR,,Ellen
probablytom,cptKav,AR,AK,,cptKav
Sabotage,Ellen,KR,AK,,Ellen
Luca1802,Ellen,AH,AR,,Ellen
Ellen,cptKav,AK,KR,,cptKav
Frp97,Luca1802,AK,HK,,Luca1802
Sabotage,Ellen,AR,HK,,Ellen
Ellen,Sabotage,RW,AK,,Ellen
Frp97,Ellen,HR,RW,,Ellen
Sabotage,cptKav,AK,HK,,cptKav
Sabotage,Ellen,HK,BW,,Sabotage
Frp97,probablytom,HR,HK,,probablytom
Luca1802,probablytom,HK,AR,,probablytom
BestWilliam,cptKav,KR,AR,,cptKav
Sabotage,probablytom,HW,RW,,probablytom
Luca1802,Ellen,HR,AR,,Luca1802
Luca1802,cptKav,RW,AW,,cptKav
BestWilliam,Luca1802,KR,AH,,BestWilliam
Luca1802,Mageofheart,AB,KR,,Luca1802
Mageofheart,demander,AH,AH,,Mageofheart
demander,Gerr,HR,HK,,demander
demander,Mageofheart,HR,HW,,demander
Beth,Mageofheart,HK,AH,,Beth
probablytom,Beth,KR,AH,,Beth
Beth,probablytom,AR,RW,,probablytom
Ellen,cptKav,MW,BR,,Ellen
georgedo,eggface,KR,AH,,eggface
BestWilliam,Mageofheart,HK,AH,,BestWilliam
Mageofheart,Ellen,BH,AR,,Ellen
Mageofheart,BestWilliam,HK,AH,,Mageofheart
demander,BestWilliam,RW,AK,,BestWilliam
CalHaribo,Marta,HR,AK,,CalHaribo
cptKav,demander,KM,HR,,demander
demander,Marta,HR,AH,,demander
CalHaribo,Marta,AH,AK,,CalHaribo
CalHaribo,cptKav,AR,AG,,cptKav
probablytom,Marta,AK,AR,,Marta
probablytom,CalHaribo,AR,HK,,CalHaribo
cute320215,probablytom,KR,BW,,cute320215
CalHaribo,BestWilliam,RW,RW,,CalHaribo
Mageofheart,BestWilliam,HM,KR,,BestWilliam
Mageofheart,probablytom,BH,BK,,Mageofheart
Ellen,Marta,BR,AH,,Marta
georgedo,probablytom,KR,KR,,georgedo
georgedo,Sabotage,KR,AK,,georgedo
CalHaribo,BestWilliam,AB,BK,,BestWilliam
BestWilliam,Super_Ia,BK,AK,,BestWilliam
BestWilliam,cptKav,BK,KM,,BestWilliam
Ellen,Super_Ia,MR,AR,,Ellen
cptKav,Super_Ia,HW,AR,,cptKav
Luca1802,Connman96,KM,AK,,Luca1802
Ellen,BestWilliam,AG,KR,,BestWilliam
BestWilliam,Ellen,MR,BR,,BestWilliam
CalHaribo,BestWilliam,MR,HM,,BestWilliam
cptKav,BestWilliam,BG,HR,,cptKav
Mageofheart,Super_Ia,AM,AR,,Mageofheart
Luca1802,CalHaribo,BM,AB,,CalHaribo
Etess,Ellen,AK,BR,,Etess
georgedo,eggface,KR,KR,,eggface
alan,BestWilliam,AR,KR,,BestWilliam
Etess,Marta,AK,AH,,Marta
Mageofheart,Etess,HM,AK,,Etess
Jules_217,Marta,HK,AR,,Jules_217
Etess,Mageofheart,AK,AM,,Etess
Mageofheart,Marta,GM,KR,,Mageofheart
Connman96,BestWilliam,KR,KR,,BestWilliam
Etess,Ellen,AK,GW,,Ellen
Ellen,cptKav,GR,AH,,cptKav
BestWilliam,Luca1802,GR,GM,,BestWilliam
georgedo,eggface,KR,AW,,georgedo
Ellen,alan,AB,AR,,Ellen
cptKav,alan,AW,AH,,cptKav
BestWilliam,probablytom,KR,BM,,probablytom
BestWilliam,Luca1802,KR,BM,,BestWilliam
georgedo,eggface,KR,AB,,georgedo
Etess,Mageofheart,HR,AG,,Etess
Mageofheart,Luca1802,GH,GM,,Luca1802
BestWilliam,Mageofheart,KR,AH,,Mageofheart
BestWilliam,Mageofheart,KR,GH,,BestWilliam
BestWilliam,cptKav,KR,KM,,cptKav
Mageofheart,BestWilliam,GW,KR,,BestWilliam
BestWilliam,Mageofheart,KR,HM,,BestWilliam
Ellen,CalHaribo,AG,GW,,CalHaribo
Mageofheart,BestWilliam,HM,KR,,BestWilliam
BestWilliam,alan,KR,AK,,BestWilliam
georgedo,eggface,KR,HM,,georgedo
cats,CalHaribo,KR,AW,,CalHaribo
Etess,cptKav,AR,BW,,cptKav
Ellen,cptKav,GW,BR,,cptKav
BestWilliam,cptKav,KR,AG,,BestWilliam
Ellen,demander,GR,BW,,demander
Mageofheart,alan,KR,KR,,alan
georgedo,eggface,KR,GW,,georgedo
georgedo,eggface,KR,BW,,eggface
georgedo,eggface,AH,BW,,georgedo
