player,strat,wins,total_matches,winrate
7Name1eSs,AH,2,2,1
AMrza99,AB,0,1,0
AMrza99,AH,1,2,0.5
AMrza99,AK,0,1,0
AMrza99,BR,1,3,0.333333333
AMrza99,HK,1,1,1
AMrza99,HW,0,1,0
AMrza99,KR,1,2,0.5
AMrza99,RW,1,1,1
AethelredVS,AH,0,1,0
Alliyana,AH,0,2,0
Alliyana,AK,1,3,0.333333333
Alliyana,AM,0,1,0
Alliyana,AR,2,3,0.666666667
Alliyana,AW,0,1,0
Alliyana,BG,0,1,0
Alliyana,BK,1,1,1
Alliyana,BM,3,5,0.6
Alliyana,BR,1,2,0.5
Alliyana,GM,1,1,1
Alliyana,MR,2,4,0.5
Anakhand,AH,0,3,0
Anakhand,AR,0,2,0
Anakhand,AW,0,2,0
Anakhand,BW,1,5,0.2
Anakhand,GW,2,4,0.5
Anakhand,HR,2,3,0.666666667
Anakhand,HW,1,2,0.5
Anakhand,KR,0,1,0
Anakhand,KW,1,2,0.5
Anakhand,MR,0,1,0
Anakhand,MW,0,1,0
Anakhand,RW,1,2,0.5
Andy,AB,2,4,0.5
Andy,AG,4,5,0.8
Andy,AH,1,1,1
Andy,AR,2,3,0.666666667
Andy,AW,1,4,0.25
Andy,BG,3,5,0.6
Andy,BH,19,35,0.542857143
Andy,BK,0,1,0
Andy,BM,2,3,0.666666667
Andy,BR,0,1,0
Andy,BW,1,1,1
Andy,GM,0,1,0
Andy,GR,13,18,0.722222222
Andy,GW,0,1,0
Andy,HK,1,1,1
Andy,KR,0,2,0
Andy,MW,1,3,0.333333333
Andy,RW,1,2,0.5
Apollogize,AB,1,3,0.333333333
Apollogize,AK,5,10,0.5
Apollogize,AM,0,1,0
Apollogize,AR,1,1,1
Apollogize,AW,25,46,0.543478261
Apollogize,HK,1,1,1
Atrps,AH,0,2,0
Atrps,AK,0,1,0
Atrps,BH,0,1,0
Atrps,HK,1,1,1
Atrps,HR,2,3,0.666666667
Atrps,KR,1,1,1
Atrps,MR,0,1,0
Atrps,RW,0,1,0
BabaG,AR,0,1,0
Baepsae,AH,3,4,0.75
