player,strat,wins,total_matches,winrate
Beccccca,ArcherBarbarian,2,6,0.333333333
Beccccca,ArcherGunner,6,21,0.285714286
Beccccca,ArcherHealer,5,18,0.277777778
Beccccca,ArcherKnight,5,9,0.555555556
Beccccca,ArcherMonk,4,10,0.4
Beccccca,ArcherRogue,2,7,0.285714286
Beccccca,ArcherWizard,14,33,0.424242424
Beccccca,BarbarianGunner,2,10,0.2
Beccccca,BarbarianHealer,0,1,0
Beccccca,BarbarianKnight,4,7,0.571428571
Beccccca,BarbarianMonk,1,1,1
Beccccca,BarbarianRogue,0,2,0
Beccccca,BarbarianWizard,1,3,0.333333333
Beccccca,GunnerHealer,2,7,0.285714286
Beccccca,GunnerKnight,1,2,0.5
Beccccca,GunnerMonk,0,2,0
Beccccca,GunnerRogue,3,7,0.428571429
Beccccca,GunnerWizard,24,52,0.461538462
Beccccca,HealerRogue,1,2,0.5
Beccccca,HealerWizard,1,3,0.333333333
Beccccca,KnightMonk,3,6,0.5
Beccccca,KnightRogue,4,5,0.8
Beccccca,KnightWizard,1,1,1
Beccccca,MonkRogue,0,1,0
Beccccca,MonkWizard,1,2,0.5
Beccccca,RogueWizard,3,9,0.333333333
BerrySauce,ArcherBarbarian,1,2,0.5
BerrySauce,ArcherHealer,0,2,0
BerrySauce,ArcherKnight,1,2,0.5
BerrySauce,ArcherRogue,0,1,0
BerrySauce,ArcherWizard,2,3,0.666666667
BerrySauce,BarbarianGunner,5,13,0.384615385
BerrySauce,BarbarianKnight,5,9,0.555555556
BerrySauce,BarbarianMonk,2,6,0.333333333
BerrySauce,GunnerHealer,2,2,1
BerrySauce,GunnerKnight,0,1,0
BerrySauce,GunnerMonk,2,5,0.4
BerrySauce,GunnerRogue,1,8,0.125
BerrySauce,GunnerWizard,5,12,0.416666667
BerrySauce,HealerKnight,1,2,0.5
BerrySauce,HealerMonk,1,1,1
BerrySauce,HealerWizard,0,1,0
BerrySauce,KnightMonk,1,1,1
BerrySauce,KnightRogue,1,5,0.2
BerrySauce,KnightWizard,1,3,0.333333333
BerrySauce,MonkRogue,2,7,0.285714286
BerrySauce,RogueWizard,1,1,1
Beth,ArcherBarbarian,0,2,0
Beth,ArcherGunner,0,1,0
Beth,ArcherHealer,0,3,0
Beth,ArcherKnight,3,5,0.6
Beth,ArcherRogue,3,10,0.3
Beth,ArcherWizard,3,5,0.6
Beth,BarbarianGunner,4,6,0.666666667
Beth,BarbarianHealer,1,1,1
Beth,BarbarianMonk,1,2,0.5
Beth,BarbarianRogue,1,2,0.5
Beth,BarbarianWizard,1,3,0.333333333
Beth,GunnerHealer,0,1,0
Beth,GunnerKnight,2,5,0.4
Beth,GunnerRogue,2,4,0.5
Beth,GunnerWizard,3,6,0.5
Beth,HealerKnight,3,6,0.5
Beth,KnightMonk,2,2,1
Beth,KnightRogue,1,3,0.333333333
Beth,KnightWizard,0,1,0
Beth,MonkRogue,1,2,0.5
Beth,RogueWizard,1,4,0.25
DX13,ArcherBarbarian,1,6,0.166666667
DX13,ArcherGunner,8,11,0.727272727
DX13,ArcherHealer,7,11,0.636363636
DX13,ArcherKnight,3,9,0.333333333
DX13,ArcherMonk,3,8,0.375
DX13,ArcherRogue,1,4,0.25
DX13,ArcherWizard,2,4,0.5
DX13,BarbarianGunner,24,47,0.510638298
DX13,BarbarianHealer,2,4,0.5
DX13,BarbarianKnight,5,15,0.333333333
DX13,BarbarianMonk,0,3,0
DX13,BarbarianRogue,1,2,0.5
DX13,BarbarianWizard,1,2,0.5
DX13,GunnerHealer,8,18,0.444444444
DX13,GunnerKnight,10,17,0.588235294
DX13,GunnerMonk,4,7,0.571428571
DX13,GunnerRogue,27,51,0.529411765
DX13,GunnerWizard,15,31,0.483870968
DX13,HealerKnight,1,2,0.5
DX13,HealerMonk,0,3,0
DX13,HealerRogue,2,2,1
DX13,HealerWizard,1,2,0.5
DX13,KnightMonk,2,7,0.285714286
DX13,KnightRogue,8,12,0.666666667
DX13,KnightWizard,7,13,0.538461538
DX13,MonkRogue,2,4,0.5
DX13,MonkWizard,7,15,0.466666667
DX13,RogueWizard,4,14,0.285714286
DavetheRave,ArcherBarbarian,1,1,1
DavetheRave,ArcherGunner,4,6,0.666666667
DavetheRave,ArcherHealer,0,4,0
DavetheRave,ArcherKnight,2,3,0.666666667
DavetheRave,ArcherMonk,0,2,0
DavetheRave,ArcherRogue,1,5,0.2
DavetheRave,ArcherWizard,2,2,1
DavetheRave,BarbarianGunner,4,10,0.4
DavetheRave,BarbarianHealer,1,4,0.25
DavetheRave,BarbarianKnight,1,7,0.142857143
DavetheRave,BarbarianMonk,1,6,0.166666667
DavetheRave,BarbarianRogue,4,4,1
DavetheRave,BarbarianWizard,3,6,0.5
DavetheRave,GunnerHealer,3,7,0.428571429
DavetheRave,GunnerKnight,2,6,0.333333333
DavetheRave,GunnerMonk,2,6,0.333333333
DavetheRave,GunnerRogue,2,8,0.25
DavetheRave,GunnerWizard,6,11,0.545454545
DavetheRave,HealerRogue,0,1,0
DavetheRave,HealerWizard,1,1,1
DavetheRave,KnightMonk,4,7,0.571428571
DavetheRave,KnightRogue,0,1,0
DavetheRave,KnightWizard,1,2,0.5
DavetheRave,MonkRogue,5,5,1
DavetheRave,MonkWizard,1,2,0.5
DavetheRave,RogueWizard,2,5,0.4
Deanerbeck,ArcherBarbarian,1,2,0.5
Deanerbeck,ArcherGunner,4,6,0.666666667
Deanerbeck,ArcherHealer,1,2,0.5
Deanerbeck,ArcherKnight,2,5,0.4
Deanerbeck,ArcherMonk,4,8,0.5
Deanerbeck,ArcherRogue,33,70,0.471428571
Deanerbeck,ArcherWizard,5,17,0.294117647
Deanerbeck,BarbarianGunner,8,22,0.363636364
Deanerbeck,BarbarianHealer,2,3,0.666666667
Deanerbeck,BarbarianKnight,6,12,0.5
Deanerbeck,BarbarianMonk,3,4,0.75
Deanerbeck,BarbarianRogue,1,1,1
Deanerbeck,BarbarianWizard,4,14,0.285714286
Deanerbeck,GunnerHealer,1,1,1
Deanerbeck,GunnerKnight,5,12,0.416666667
Deanerbeck,GunnerMonk,0,2,0
Deanerbeck,GunnerRogue,19,43,0.441860465
Deanerbeck,GunnerWizard,39,92,0.423913043
Deanerbeck,HealerKnight,0,1,0
Deanerbeck,HealerRogue,1,8,0.125
Deanerbeck,HealerWizard,1,4,0.25
Deanerbeck,KnightMonk,1,3,0.333333333
Deanerbeck,KnightRogue,1,1,1
Deanerbeck,KnightWizard,1,4,0.25
Deanerbeck,MonkRogue,21,42,0.5
Deanerbeck,MonkWizard,1,1,1
Deanerbeck,RogueWizard,38,75,0.506666667
ECDr,ArcherBarbarian,2,5,0.4
ECDr,ArcherGunner,2,3,0.666666667
ECDr,ArcherKnight,5,10,0.5
ECDr,ArcherMonk,2,2,1
ECDr,ArcherRogue,4,12,0.333333333
ECDr,ArcherWizard,0,5,0
ECDr,BarbarianGunner,6,10,0.6
ECDr,BarbarianKnight,0,2,0
ECDr,BarbarianWizard,2,2,1
ECDr,GunnerHealer,2,4,0.5
ECDr,GunnerKnight,3,8,0.375
ECDr,GunnerMonk,3,3,1
ECDr,GunnerRogue,18,37,0.486486486
ECDr,GunnerWizard,117,195,0.6
ECDr,HealerKnight,1,3,0.333333333
ECDr,HealerRogue,2,2,1
ECDr,HealerWizard,1,1,1
ECDr,KnightMonk,1,1,1
ECDr,KnightRogue,1,2,0.5
ECDr,KnightWizard,0,1,0
ECDr,MonkRogue,3,3,1
ECDr,MonkWizard,1,3,0.333333333
ECDr,RogueWizard,6,10,0.6
Fbomb,ArcherBarbarian,1,1,1
Fbomb,ArcherRogue,0,3,0
Fbomb,ArcherWizard,1,1,1
Fbomb,BarbarianKnight,1,2,0.5
Fbomb,BarbarianMonk,0,1,0
Fbomb,BarbarianRogue,1,1,1
Fbomb,GunnerRogue,1,2,0.5
Fbomb,GunnerWizard,0,2,0
Fbomb,MonkRogue,1,6,0.166666667
Fbomb,MonkWizard,1,4,0.25
Martin,ArcherBarbarian,18,35,0.514285714
Martin,ArcherHealer,1,2,0.5
Martin,ArcherKnight,6,10,0.6
Martin,ArcherRogue,2,8,0.25
Martin,BarbarianGunner,2,3,0.666666667
Martin,BarbarianHealer,1,2,0.5
Martin,BarbarianKnight,2,2,1
Martin,BarbarianRogue,1,2,0.5
Martin,BarbarianWizard,1,1,1
Martin,GunnerKnight,0,1,0
Martin,GunnerRogue,12,22,0.545454545
Martin,GunnerWizard,11,24,0.458333333
Martin,HealerKnight,1,3,0.333333333
Martin,HealerMonk,5,7,0.714285714
Martin,HealerRogue,0,4,0
Martin,HealerWizard,2,2,1
Martin,KnightRogue,1,1,1
Martin,KnightWizard,5,17,0.294117647
Martin,MonkRogue,3,10,0.3
Martin,MonkWizard,1,2,0.5
Martin,RogueWizard,3,3,1
Paddy,ArcherBarbarian,0,1,0
Paddy,ArcherMonk,1,1,1
